	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
N?	-	-	+	+	-	+	-	.	+	-	-	-	n	.	.	.	.	.	-	-	.	-	-
n’	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
n’	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
n’	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
nː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	+	-
nː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	+	-
n̪ː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	+	-
ⁿc	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ⁿc	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ⁿd	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
nd̥	-	-	+	-	-	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿd̪	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
ⁿd̪	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
nð	-	-	+	-	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
ⁿdʲ	-	-	+	-	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
ⁿdl	-	-	+	-	-	+	-	+	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿdlʼ	-	-	+	-	-	+	+	+	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿdlʼ	-	-	+	-	-	+	+	+	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿdɮ	-	-	+	-	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
ⁿdʷ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	+	+	-	-	-
ⁿdz	-	-	+	-	-	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿdʒ	-	-	+	-	-	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
ⁿdʒ	-	-	+	-	-	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
ⁿdβ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	.	-	-	.	.	-	-
ⁿɖ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ⁿɡʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
nɡǀ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nɡǁ	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
nɡǂ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
nɡǃ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
nʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	-	-	+	+	-	-	-	.	-	-
n̪ʰ	-	-	+	+	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	+	-	-
nʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
nʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
n̟ʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
